id,ChemSpecies,CH4,CO,CO2,H2,H2S,N2,N2O,NO,NO2,O2,SO2,SO3,H2O,C(S),S
1,CH4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CO2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,H2,-2,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0
5,H2S,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,N2,0,0,0,0,0,0,-1,-0.5,-0.5,0,0,0,0,0,0
7,N2O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,NO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,NO2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,O2,0,-0.5,1,0,0,0,-0.5,-0.5,-1,0,-1,-1.5,-0.5,0,0
11,SO2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,SO3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,H2O,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,C(S),-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
15,S,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0
